#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
83,Myanmar,"633,521",,"19,488                                ",,"608,069",,"5,964",,"11,471",353,"9,748,083","176,509","55,227,143 ",Asia,,"872,8346",,,108
84,Cyprus,"622,101",,"1,242                                ",,"608,781",,"12,078",60,"508,507","1,015","9,640,118","7,879,860","1,223,387 ",Asia,,29850,,,"9,873"
85,Palestine,"620,816",,"5,404                                ",,"614,962",,450,17,"116,137","1,011","3,078,533","575,907","5,345,541 ",Asia,,99892,,,84
86,Estonia,"610,393",,"2,814                                ",,"524,990",,"82,589",5,"461,751","2,129","3,619,991","2,738,455","1,321,910 ",Europe,,24700,,,"62,477"
87,Moldova,"595,745",,"11,922                                ",,"504,142",,"79,681",49,"148,447","2,971","3,216,305","801,437","4,013,171 ",Europe,,73371,,,"19,855"
88,Venezuela,"548,570",,"5,830                                ",,"541,573",,"1,167",36,"18,744",199,"3,359,014","114,771","29,266,991 ",South America,,"535,0209",,,40
89,Egypt,"515,645",,"24,613                                ",,"442,182",,"48,850",122,"4,857",232,"3,693,367","34,792","106,156,692 ",Africa,,"2064,31329",,,460
90,Libya,"507,112",,"6,437                                ",,"500,640",,35,,"72,025",914,"2,483,318","352,707","7,040,745 ",Africa,,"141,0943",,,5
91,Ethiopia,"495,747",,"7,572                                ",,"474,474",,"13,701",2,"4,103",63,"5,389,074","44,607","120,812,698 ",Africa,,"24415,95522",,,113
92,Qatar,"485,781",,685                                ,,"483,349",,"1,747",4,"163,018",230,"4,065,369","1,364,257","2,979,915 ",Asia,,"64,3501",,,586
93,Réunion,"480,501",,907                                ,,"418,572",,"61,022",10,"529,151",999,"1,603,660","1,766,027","908,061 ",Africa,,"21,0011",,,"67,200"
94,Honduras,"461,988",,"11,060                                ",,N/A,N/A,N/A,105,"45,199","1,082","1,577,814","154,366","10,221,247 ",North America,,229246,,,"31,149"
95,Armenia,"445,881",,"8,712                                ",,"435,060",,"2,109",,"150,029","2,931","3,240,491","1,090,353","2,971,966 ",Asia,,73411,,,710
96,Bosnia and Herzegovina,"400,754",,"16,217                                ",,"378,540",,"5,997",,"123,335","4,991","1,880,780","578,823","3,249,317 ",Europe,,82002,,,"1,846"
97,Oman,"399,119",,"4,260                                ",,"384,669",,"10,190",2,"74,966",800,"25,000,000","4,695,724","5,323,993 ",Asia,,"131,2500",,,"1,914"
98,North Macedonia,"345,197",,"9,599                                ",,"335,465",,133,,"165,856","4,612","2,141,032","1,028,697","2,081,304 ",Europe,,62171,,,64
99,Kenya,"342,248",,"5,684                                ",,"336,249",,315,1,"6,088",101,"3,951,433","70,291","56,215,221 ",Africa,,"1649,89014",,,6
